NombreProceso,NombreGrupo,Fecha,total_ejecucionesFecha,total_mipsFecha
*FILE/TRANSFER,FTP,2024-12-02,54430,0.3462923998351272
*FILE/TRANSFER,OPERACION,2024-12-02,2,1.037491467688948e-05
*FILE/TRANSFER,MONITOREO,2024-12-02,3,1.3129039839985327e-05
*FILE/TRANSFER,FTP,2024-12-03,54984,0.3609324841864651
*FILE/TRANSFER,FTP,2024-10-19,55028,0.3595478947060307
*FILE/TRANSFER,FTP,2024-10-28,56408,0.3591758843793185
*FILE/TRANSFER,FTP,2024-10-25,53532,0.34298292724070767
*FILE/TRANSFER,MONITOREO,2024-10-27,2,8.058945789740696e-06
*FILE/TRANSFER,OPERACION,2024-10-28,2,8.997852095341554e-06
*FILE/TRANSFER,MONITOREO,2024-10-30,3,1.3786274253905928e-05
*FILE/TRANSFER,FTP,2024-11-02,54027,0.3556306837084313
*FILE/TRANSFER,MONITOREO,2024-11-03,2,8.59099269624785e-06
*FILE/TRANSFER,OPERACION,2024-11-08,2,1.1439008489903784e-05
*FILE/TRANSFER,FTP,2024-11-08,55771,0.359332259224518
*FILE/TRANSFER,MONITOREO,2024-11-10,2,8.716180203661295e-06
*FILE/TRANSFER,MONITOREO,2024-11-09,4,1.81678370133766e-05
*FILE/TRANSFER,FTP,2024-11-09,53657,0.34589752713986666
*FILE/TRANSFER,OPERACION,2024-11-14,8,3.580362712024604e-05
*FILE/TRANSFER,OPERACION,2024-11-15,2,1.106344596766344e-05
*FILE/TRANSFER,OPERACION,2024-11-20,2,9.420359932861939e-06
*FILE/TRANSFER,MONITOREO,2024-11-20,3,1.367673518491916e-05
*FILE/TRANSFER,MONITOREO,2024-11-21,3,1.4255727406706356e-05
*FILE/TRANSFER,MONITOREO,2024-11-23,4,1.7964407313829745e-05
*FILE/TRANSFER,FTP,2024-11-23,53245,0.3428715729528486
*FILE/TRANSFER,MONITOREO,2024-11-06,3,1.3614141431212437e-05
*FILE/TRANSFER,OPERACION,2024-10-17,8,3.816654132267487e-05
*FILE/TRANSFER,MONITOREO,2024-09-21,2,9.482953686568663e-06
*FILE/TRANSFER,MONITOREO,2024-09-14,2,9.670734947688835e-06
*FILE/TRANSFER,FTP,2024-09-08,54566,0.30952894444710294
*FILE/TRANSFER,MONITOREO,2024-09-09,2,9.185633356461725e-06
*FILE/TRANSFER,MONITOREO,2024-08-15,2,9.216930233315088e-06
*FILE/TRANSFER,OPERACION,2024-08-05,2,1.0406211553742841e-05
*FILE/TRANSFER,FTP,2024-07-23,56263,0.37337598158741625
*FILE/TRANSFER,OPERACION,2024-07-25,8,3.749365847032759e-05
*FILE/TRANSFER,FTP,2024-07-20,54072,0.34170261895395415
*FILE/TRANSFER,OPERACION,2024-07-07,4,1.4553047736813295e-05
*FILE/TRANSFER,MONITOREO,2024-06-28,2,9.420359932861939e-06
*FILE/TRANSFER,MONITOREO,2024-06-24,2,9.342117740728533e-06
*FILE/TRANSFER,MONITOREO,2024-06-04,2,9.968055277795774e-06
*FILE/TRANSFER,MONITOREO,2024-06-01,2,9.702031824542197e-06
*FILE/TRANSFER,FTP,2024-05-27,57035,0.37049499453400075
*FILE/TRANSFER,FTP,2024-05-24,53382,0.3423846717912188
*FILE/TRANSFER,MONITOREO,2024-04-27,2,1.6649938485988544e-05
