NombreProceso,NombreGrupo,Fecha,total_ejecucionesFecha,total_mipsFecha
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-04,3,5.085742488671313e-06
*LIBRARY/MAINTENANCE,OPERACION,2024-11-04,50700,1.1057063908535927
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-25,10,0.0010694768758330836
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-22,11,0.0015279291764195549
*LIBRARY/MAINTENANCE,OPERACION,2024-09-22,52874,1.0688281228728342
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-30,11,0.0013638865963926594
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-06-30,52483,1.0469486640458743
*LIBRARY/MAINTENANCE,MONITOREO,2024-07-14,11,0.001329319195908121
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-07-14,52326,1.0199691600575502
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-23,10,0.0014167157245211345
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-23,62075,1.2657834218565291
*LIBRARY/MAINTENANCE,OPERACION,2024-11-05,63634,1.2533824256144113
*LIBRARY/MAINTENANCE,OPERACION,2024-11-19,62386,1.2857899034398494
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-18,11,0.0011151546676005653
*LIBRARY/MAINTENANCE,OPERACION,2024-11-18,63232,1.2356864203164404
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-03,10,0.0010465049682227155
*LIBRARY/MAINTENANCE,MONITOREO,2024-09-02,10,0.0011024637840365272
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-09-02,60077,1.180969401982429
*LIBRARY/MAINTENANCE,OPERACION,2024-06-29,1,0.0003398527857506573
*LIBRARY/MAINTENANCE,MONITOREO,2024-06-29,11,0.0014307836706667204
*LIBRARY/MAINTENANCE,MONITOREO,2024-11-12,11,0.0009627701742015464
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-11-11,2,2.8323673552292546e-06
*LIBRARY/MAINTENANCE,MONITOREO,2024-08-05,10,0.0010351129050480924
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-21,11,0.001187481750008684
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-20,11,0.0011359827391464778
*LIBRARY/MAINTENANCE,OPERACION,2024-05-11,1,0.00033190337902990326
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-12,11,0.001285581810505548
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-12,51188,0.9994524454909962
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-11,9,0.0013726027765963208
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-10,63920,2.0205300157391886
*LIBRARY/MAINTENANCE,MONITOREO,2024-05-10,10,0.0015026882452373192
